category,word,pos,frequency
政經,地區,Nc,6
政經,國籍,Na,6
政經,周邊,Nc,6
政經,民進黨,Nb,6
政經,海域,Na,6
政經,兩岸,Nc,6
政經,海纜,Na,5
政經,政府,Na,5
政經,國籍法,Na,5
政經,大陸,Nc,5
政經,國民,Na,5
政經,系統,Na,5
政經,武器,Na,5
政經,美方,Na,5
政經,問題,Na,5
政經,國安局,Nc,5
政經,蔡明彥,Nb,5
政經,國民黨,Nb,5
政經,專家,Na,5
政經,年限,Na,5
政經,日本,Nc,5
政經,台南,Nc,4
政經,貨輪,Na,4
政經,我國,Nc,4
政經,電纜,Na,4
政經,史雪燕,Nb,4
政經,行政,Na,4
政經,陸委會,Nc,4
政經,規定,Na,4
政經,行動,Na,4
政經,總統,Na,4
政經,行為,Na,4
政經,海峽,Na,4
政經,海巡,Na,4
政經,關係,Na,4
政經,國人,Na,4
政經,王姓,Nb,3
政經,船長,Na,3
政經,外海,Nc,3
政經,法院,Nc,3
政經,單位,Na,3
政經,議員,Na,3
政經,方式,Na,3
政經,國防部,Nc,3
政經,架次,Na,3
政經,活動,Na,3
政經,彈藥,Na,3
政經,戰爭,Na,3
政經,需求,Na,3
政經,計畫,Na,3
政經,國會,Nc,3
政經,國安,Na,3
政經,海底,Na,3
政經,澎湖,Nc,3
政經,全球,Nc,3
政經,條例,Na,3
政經,王翎鳳,Nb,3
政經,發言人,Na,3
政經,戰略,Na,3
政經,空域,Na,3
政經,局勢,Na,3
政經,勞動部,Nc,3
政經,宏泰,Nb,2
政經,地檢署,Nc,2
政經,船員,Na,2
政經,台灣人,Na,2
政經,內政部,Nc,2
政經,公職,Na,2
政經,方面,Na,2
政經,辦法,Na,2
政經,內政部長,Na,2
政經,劉世芳,Nb,2
政經,長官,Na,2
政經,戶籍,Na,2
政經,方案,Na,2
政經,機關,Na,2
政經,週邊,Nc,2
政經,動作,Na,2
政經,帕帕羅,Nc,2
政經,載具,Na,2
政經,機艦,Na,2
政經,方向,Na,2
政經,關稅,Na,2
政經,經濟,Na,2
政經,名單,Na,2
政經,學者,Na,2
政經,國家,Na,2
政經,計劃,Na,2
政經,事情,Na,2
政經,核密,Na,2
政經,法務部,Nc,2
政經,總處,Nc,2
政經,徐巧芯,Nb,2
政經,手法,Na,2
政經,背景,Na,2
政經,海巡署,Nc,2
政經,民兵,Na,2
政經,軍演,Na,2
政經,望安,Nc,2
政經,船隻,Na,2
政經,水域,Na,2
政經,區域,Nc,2
政經,動態,Na,2
政經,雜誌,Na,2
政經,主任,Na,2
政經,陳國銘,Nb,2
政經,王定宇,Nb,2
政經,黨團,Na,2
政經,共識,Na,2
政經,程序,Na,2
政經,立法院,Nc,2
政經,東南亞,Nc,2
政經,外交部長,Na,2
政經,外長,Na,2
政經,外交部,Nc,2
政經,我國防部,Nc,2
政經,公務船,Na,2
政經,威脅,Na,2
政經,力量,Na,2
政經,大型,Na,2
政經,國軍,Nc,2
政經,意圖,Na,2
政經,國際,Nc,2
政經,任務,Na,2
政經,設施,Na,2
政經,能源,Na,2
政經,社會,Na,2
政經,情況,Na,2
政經,川普,Nb,2
政經,武力,Na,2
政經,參謀,Na,2
政經,首長,Na,2
政經,會議主席,Na,2
政經,凱恩,Nb,2
政經,統戰,Na,2
政經,措施,Na,2
政經,台商,Na,2
政經,地點,Na,2
政經,海巡隊,Na,1
政經,權宜輪,Nv,1
政經,台澎,Nc,1
政經,電子,Na,1
政經,海圖,Na,1
政經,位置,Na,1
政經,台南市,Nc,1
政經,北門區,Nc,1
政經,禁錨區,Nc,1
政經,3號,Nb,1
政經,字形,Na,1
政經,電線,Na,1
政經,罪嫌,Na,1
政經,幕後,Nc,1
政經,船東身,Na,1
政經,態度,Na,1
政經,嫌疑,Na,1
政經,權責,Na,1
政經,宏泰58,Nb,1
政經,船東,Na,1
政經,口號,Na,1
政經,南投縣陸配,Nc,1
政經,中國籍,Na,1
政經,台北高,Nc,1
政經,主委,Na,1
政經,邱垂正,Nb,1
政經,損害,Na,1
政經,責任,Na,1
政經,南投縣陸配議員,Nc,1
政經,權益,Na,1
政經,史雪燕委任,Nb,1
政經,律師,Na,1
政經,李震華,Nb,1
政經,地位,Na,1
政經,中華,Nc,1
政經,共和國,Na,1
政經,外國人,Na,1
政經,副主委,Na,1
政經,梁文傑,Nb,1
政經,憲法,Na,1
政經,國籍者,Na,1
政經,健保,Na,1
政經,移民署,Nc,1
政經,通知,Na,1
政經,海基會,Nc,1
政經,人手,Na,1
政經,諮詢量,Na,1
政經,委會,Nc,1
政經,類型,Na,1
政經,疑慮,Na,1
政經,陸者,Na,1
政經,對岸,Nc,1
政經,中國11,Nc,1
政經,火箭,Na,1
政經,路徑,Na,1
政經,共機艦,Na,1
政經,美軍,Na,1
